customer_id,name,age,email,state
115b3bf5-c86c-4e88-a039-b12c130fb6f0,Courtney Webb,26,ryan44@example.org,Colorado
070c1dbf-f925-4233-b707-8d7c78326bf6,Andrew Williams,66,josewhitney@example.org,Nevada
af81ec9c-b3fb-47f5-ba72-957761f5b5fb,Paul Harris,55,crobinson@example.org,Hawaii
2e9dbfab-495d-4d8c-9ab2-078e34b522e2,Allison Williams,23,angela66@example.org,Missouri
372e43b3-73d1-4c88-ae14-2d74547c8ff6,Francisco Wilson,24,alexanderson@example.net,Indiana
088e0e7d-8b71-41eb-b5a6-436948cd695c,Steven Gonzalez,69,ubrown@example.com,North Carolina
3f578c01-4133-4830-a97b-419c53492289,Lawrence Klein,35,john79@example.net,South Dakota
27984e89-0b67-4819-affd-c92c14039888,Meghan Lindsey,26,anthonyschwartz@example.org,Montana
5313bb8b-aa8e-474c-8d20-52b299bfc193,Julia Wright,38,qshaw@example.net,Massachusetts
bc094ab8-d07d-4bd5-bdaf-fca4e3fe2b90,April Douglas,31,dnguyen@example.net,Illinois
71fe6fea-5d57-4a50-9440-9d10b19e2bbf,Angela Alexander,69,smartin@example.com,Maryland
749063de-1009-4af8-9955-879245d34142,Pamela Franco,61,evan54@example.net,Wisconsin
694ac878-4093-4c49-a048-4bcddf496e3c,Samantha Rodriguez,59,theresa54@example.net,California
3368921c-5d0c-4a46-854c-ac97b6d371f0,Richard Castro,62,ehall@example.com,Louisiana
3ec3e1fb-004c-4b98-ace1-c0743647a5ff,Breanna Rosario,64,gfreeman@example.com,Kentucky
2df929b4-ea57-41c5-b30b-914dfd06b914,Christopher Smith,60,andres92@example.com,Mississippi
865dc4a7-5555-438a-a6fb-0ab2b3e57edc,Veronica Peterson,25,edward55@example.net,Mississippi
d2b17fa2-4c34-46c7-97ad-e92785f56a26,Kyle Rogers,50,martinfrancisco@example.com,Massachusetts
426b3dc8-4d8e-4113-8526-a5e9d1335070,Yvonne Wilson,52,bethdavis@example.net,Iowa
2c97b2fd-e57d-418b-9cb9-74cb7694bf5d,Larry Nolan,33,blake86@example.com,Oregon
d6bf4f10-af8c-434d-b848-a096e307ce8a,Jennifer Guerrero,37,anthonywilson@example.net,Missouri
511c494c-8651-4ff6-9c6e-b601ed978214,Laura Holder,38,durhammelinda@example.net,Indiana
c50d647d-6784-48cf-8a13-b667428194b9,Kim Roy,38,webbphillip@example.net,Oklahoma
edae1894-a869-4d4c-9600-13f2c0ce04dc,Terry Moore,41,mark20@example.org,Virginia
5da9c50e-88c4-4cce-bfb6-9014920e9f31,Mark Austin,47,paulwilliams@example.net,Delaware
da6fc98c-9b4f-446e-a85d-68f3778445dc,Paula Patel,59,dfloyd@example.net,Kansas
40bb9793-6165-452f-b2d2-09fa5258b9ad,Anthony Parsons,43,jwilliamson@example.net,Mississippi
563a8ee3-59e9-4b69-9171-7d39bb62cb84,Tammy Cortez,48,adamsims@example.com,Florida
